mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns,robustness_sigma_1p0_average_fidelity
trpo,a-2p2_d2aadef6,1,runs\cost_function_sweep\trpo\a-2p2_d2aadef6\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.2,64-32-32,0.6552366347163585,0.6552366347163585,0.9977654299262888,0.0003942825164407,180.0,0.9456146334659071
trpo,a-2p2_d2aadef6,2,runs\cost_function_sweep\trpo\a-2p2_d2aadef6\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.2,64-32-32,0.750760926797652,0.750760926797652,0.9936775256712131,0.000244765491545,180.0,0.9423701403982477
trpo,a-2p2_e6ed248a,1,runs\cost_function_sweep\trpo\a-2p2_e6ed248a\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.4,64-32-32,1.255566777404732,1.255566777404732,0.997745565097688,0.0003946839679574,180.0,0.9456005922055497
trpo,a-2p2_e6ed248a,2,runs\cost_function_sweep\trpo\a-2p2_e6ed248a\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.4,64-32-32,1.35012941660105,1.35012941660105,0.9936656119504216,0.0002453352822419,180.0,0.9423839719736778
trpo,a-2p2_6b6606af,1,runs\cost_function_sweep\trpo\a-2p2_6b6606af\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.05,64-32-32,0.3656983862525211,0.3656983862525211,0.9935555501974006,0.0002891210547869,180.0,0.9254349003379514
trpo,a-2p2_6b6606af,2,runs\cost_function_sweep\trpo\a-2p2_6b6606af\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.05,64-32-32,0.2902653950967475,0.2902653950967475,0.9959041989690594,0.0001976842519465,180.0,0.9293451991863245
trpo,a-2p2_b115ee9b,1,runs\cost_function_sweep\trpo\a-2p2_b115ee9b\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.1,64-32-32,0.5151950696200682,0.5151950696200682,0.9935883533989958,0.000289108274246,180.0,0.9253825991591942
trpo,a-2p2_b115ee9b,2,runs\cost_function_sweep\trpo\a-2p2_b115ee9b\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.1,64-32-32,0.4404217840737534,0.4404217840737534,0.9959066149847328,0.0001978975026216,180.0,0.9292817823901518
trpo,a-2p2_36adba28,1,runs\cost_function_sweep\trpo\a-2p2_36adba28\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.2,64-32-32,0.81417966472147,0.81417966472147,0.9936544176065571,0.0002890860600597,180.0,0.9252869861702959
trpo,a-2p2_36adba28,2,runs\cost_function_sweep\trpo\a-2p2_36adba28\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.2,64-32-32,0.7407843290046703,0.7407843290046703,0.9959092836492088,0.0001983385096688,180.0,0.9291558582203457
trpo,a-2p2_f147ec91,1,runs\cost_function_sweep\trpo\a-2p2_f147ec91\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.4,64-32-32,1.4121839571175,1.4121839571175,0.9937853553669906,0.0002890509677746,180.0,0.9250979621580996
trpo,a-2p2_f147ec91,2,runs\cost_function_sweep\trpo\a-2p2_f147ec91\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.4,64-32-32,1.3415749738714489,1.3415749738714489,0.9959116547480716,0.0001992339208908,180.0,0.9289046127515488
